Reservior name,dam name,river,main basin,sub basin,near city,administration city,COUNTRY,secondary country,YEAR,dam height,dam length,AREA(sqkm),AREA(polygonal),CAPITAL EXPENDITURE,DEPTH(m),AVG DISPLACEMENT OF WATER,CATCHMENT area in sqkm,MAIN_USAGE,"MULTI_DAMS,C,10",TIMELINE(status),status,longitude,latitude
,Diana Lake,Diana,,,Prince Rupert,British Columbia,Canada,,1966,15,279,4.9,4.9,40.7,8.3,3352,51,Water supply,Yes,,3: Fair,-130.082917,54.199583
Nechako Reservoir,Kenney,Nechako,,,Prince George,British Columbia,Canada,,1952,104,457,782.4,782.4,23800,30.4,230544,13971,Hydroelectricity,Yes,,3: Fair,-124.947917,53.57875
,Cougar Lake Dam,,,,Princess Royal Island,British Columbia,Canada,,1916,18,127,2.6,2.6,123.3,47.4,12080,140,Water supply,,,4: Poor,-128.892917,53.02625
,Gibraltar,,,,Williams Lake,British Columbia,Canada,,1998,92,2438,5.3,5.3,250,47.2,234,24,Other,,,3: Fair,-122.26625,52.572917
,Link Lake,Link,,,Ocean Falls,British Columbia,Canada,,1917,23,208,23.7,23.7,389.8,16.4,23131,308,Hydroelectricity,,,3: Fair,-127.68125,52.352083
,Lajoie,Bridge,,,Gold Bridge,British Columbia,Canada,,1955,87,1036,18.9,18.9,720.7,38.1,26806,983,Hydroelectricity,,,2: Good,-122.857917,50.837917
,Terzaghi,Bridge,,,Lillooet,British Columbia,Canada,,1960,61,366,22.6,22.6,1021.3,45.2,85690,3700,Hydroelectricity,,,3: Fair,-122.22875,50.787083
Seton Lake,Seton,Seton Creek,,,Lillooet,British Columbia,Canada,,1956,14,77,24.5,24.5,148.3,6.1,21771,995,Hydroelectricity,,,2: Good,-121.99125,50.670417
,Highland,Pukaist,,,Logan Lake,British Columbia,Canada,,1976,142,2700,2.2,2.2,650,295.5,752,164,Other,,,5: Unreliable,-121.18125,50.55375
,John Hart,Campbell,,,Campbell River,British Columbia,Canada,,1947,34,201,2.7,2.7,3.4,1.3,85352,1429,,,,3: Fair,-125.34125,50.042083
,Ladore Falls,Campbell,,,Campbell River,British Columbia,Canada,,1949,38,95,23.1,23.1,320.7,13.9,84043,1403,Hydroelectricity,,,3: Fair,-125.38625,50.00875
,Strathcona,Campbell,,,Campbell River,British Columbia,Canada,,1958,53,511,63,63,1002.8,15.9,71020,1161,Hydroelectricity,,,4: Poor,-125.587083,49.995417
,Cheakamus,Cheakamus,,,Squamish,British Columbia,Canada,,1957,29,683,2.8,2.8,52.4,18.7,29177,722,Hydroelectricity,,,2: Good,-123.139583,49.982917
,Powell,Powell,,,Powell River,British Columbia,Canada,,1912,17,236,120.1,120.1,1620,13.5,43166,1251,Hydroelectricity,,,3: Fair,-124.542083,49.887083
,Lois,Lois,,,Powell River,British Columbia,Canada,,1941,64,229,21.3,21.3,555.1,26.1,16589,451,Hydroelectricity,,,4: Poor,-124.314583,49.799583
,Clowhom,Clowhom,,,Sechelt,British Columbia,Canada,,1957,22,402,6.9,6.9,99.9,14.5,17589,385,Hydroelectricity,,,3: Fair,-123.537083,49.71625
,Comox Lake,Puntledge,,,Courtenay,British Columbia,Canada,,1955,11,91,20,20,104.2,5.2,24365,443,Hydroelectricity,,,2: Good,-125.095417,49.64125
Elsie Lake,Elsie Lake Saddle Dam,Ash,,,Port Alberni,British Columbia,Canada,,1958,30,189,5.2,5.2,77,14.8,13590,234,Hydroelectricity,,,4: Poor,-125.102917,49.469583
,Seymour Falls,Seymour,,,Vancouver,British Columbia,Canada,,1961,30,457,2.1,2.1,25.3,12,5824,126,Water supply,,,2: Good,-122.96625,49.445417
,Cleveland,Capilano,,,Vancouver,British Columbia,Canada,,1954,92,195,2.2,2.2,75.2,34.2,8903,196,Water supply,,,2: Good,-123.11125,49.362083
,Coquitlam,Coquitlam,,,Port Coquitlam,British Columbia,Canada,,1912,30,290,10.9,10.9,222.6,20.4,8320,185,Hydroelectricity,,,2: Good,-122.782917,49.357917
,Alouette,Alouette,,,Haney,British Columbia,Canada,,1926,22,288,14.8,14.8,209.7,14.2,8556,203,Hydroelectricity,,,2: Good,-122.482917,49.29125
,Wahleach,Wahleach,,,Hope,British Columbia,Canada,,1953,21,418,3.9,3.9,66.6,17.1,2094,62,Hydroelectricity,,,2: Good,-121.607917,49.249583
,Stave Falls,Stave,,,Mission,British Columbia,Canada,,1911,26,67,44,44,580,13.2,38795,942,Hydroelectricity,Yes,,3: Fair,-122.357917,49.232917
,Fourth Nanaimo Lake,Sadie Creek,,,Nanaimo,British Columbia,Canada,,1952,22,222,1.7,1.7,43.5,25.6,3979,77,Water supply,,,3: Fair,-124.40875,49.075417
,Jump Creek,Jump Creek,,,Nanaimo,British Columbia,Canada,,1974,24,427,1.5,1.5,12.3,8.2,2629,51,Water supply,,,3: Fair,-124.220417,49.010417
,Whatcom Lake Dam,Whatcom Creek,,,,Washington,United States,,1937,6,34,18.6,18.6,95,5.1,4401,141,Recreation,,,2: Good,-122.419583,48.762083
,Ross,Skagit River,,,,Washington,United States,,1949,165,396,35,35,1791.9,51.2,60490,2599,Hydroelectricity,,,2: Good,-121.06875,48.732917
,Diablo,Skagit River,,,,Washington,United States,,1929,119,360,2.6,2.6,111,42.7,68898,2923,Hydroelectricity,,,2: Good,-121.130417,48.71625
,West Pass Dike,Baker River,,,,Washington,United States,,1959,35,366,17.6,17.6,352.1,20,18374,552,Hydroelectricity,,,2: Good,-121.68875,48.64875
,Lower Baker Dam,Baker,,,,Washington,United States,,1927,84,174,7.1,7.1,200.6,28.3,25000,749,Hydroelectricity,,,2: Good,-121.74125,48.55375
Sooke Lake,Sooke Lake,,,,Victoria,British Columbia,Canada,,1969,16,305,5.3,5.3,51.8,9.8,3412,72,Water supply,,,2: Good,-123.702917,48.520417
,Jordan,Jordan,,,Jordan River,British Columbia,Canada,,1914,40,272,0.8,0.8,20,25,5646,110,Hydroelectricity,,,2: Good,-123.99125,48.499583
,Culmback,Sultan River,,,,Washington,United States,,1983,80,195,5.7,5.7,189,33.2,5966,180,Hydroelectricity,,,2: Good,-121.684583,47.977083
,Chaplain Lake South Dam,Chaplain Creek,,,,Washington,United States,,1930,23,274,1.6,1.6,22,13.8,536,17,Water supply,,,2: Good,-121.832917,47.949583
Lake Chelan,Chelan Dam,Chelan River,,,,Washington,United States,,1927,12,149,127.7,127.7,834,6.5,33929,2378,Hydroelectricity,,,2: Good,-120.024583,47.840417
,Tolt Main Dam,South Fork of Tolt River,,,,Washington,United States,,1962,61,299,4,4,84.4,21.1,1757,51,Water supply,,,3: Fair,-121.687917,47.695417
Upper Cushman,Cushman 1,North Fork of Skokomish River,,,,Washington,United States,,1926,79,339,12.9,12.9,595.5,46.2,10649,236,Hydroelectricity,,,2: Good,-123.224583,47.424583
,Masonry Dam,Cedar River,,,,Washington,United States,,1914,69,299,6.8,6.8,215.9,31.8,7998,214,Hydroelectricity,,,3: Fair,-121.752083,47.412917
Youngs Lake,Youngs Lake Cascades Dam,Trib. Cedar River,,,,Washington,United States,,1950,5,434,2.7,2.7,15.2,5.6,549,19,Water supply,,,3: Fair,-122.127083,47.407917
,Wynoochee,Wynoochee River,,,,Washington,United States,,1973,53,518,3,3,93.7,31.2,5718,107,Water supply,,,2: Good,-123.604583,47.387083
Keechelus Lake,Keechelus,Yakima River,,,,Washington,United States,,1916,39,584,9.2,9.2,194.9,21.2,4747,142,Irrigation,,,2: Good,-121.34125,47.324583
Howard Hanson Reservoir,Howard A. Hanson Dam,Green,,,,Washington,United States,,1962,72,152,1.6,1.6,168.6,105.4,20921,568,Flood control,,,3: Fair,-121.78375,47.277917
Kachess Lake,Kachess,Kachess River,,,,Washington,United States,,1911,35,580,16.9,16.9,302.2,17.9,5041,164,Irrigation,Yes,,3: Fair,-121.207917,47.26625
Cle Elum Lake,Cle Elum,Cle Elum River,,,,Washington,United States,,1932,50,580,16.7,16.7,539,32.3,13972,526,Irrigation,,,2: Good,-121.074583,47.249583
,Lake Tapps Dike 2-B,Lake Tapps,,,,Washington,United States,,1911,5,91,7.8,7.8,57.5,7.4,1032,34,Hydroelectricity,,,3: Fair,-122.162917,47.19125
Bumping Lake,Bumping Lake,Bumping River,,,,Washington,United States,,1909,19,582,4.8,4.8,41.6,8.7,6144,195,Irrigation,,,2: Good,-121.302917,46.870417
,Alder,Nisqually River,,,,Washington,United States,,1945,101,453,10,10,297.5,29.8,31086,758,Hydroelectricity,,,2: Good,-122.312083,46.80125
,Skookumchuck,Skookumchuck River,,,,Washington,United States,,1970,49,408,1.9,1.9,74,38.9,5627,165,Hydroelectricity,,,2: Good,-122.717083,46.784583
Rimrock,Tieton,Tieton River,,,,Washington,United States,,1924,97,580,8.2,8.2,244.2,29.8,13460,485,Irrigation,,,2: Good,-121.12875,46.655417
,Mossyrock,Cowlitz River,,,,Washington,United States,,1968,185,533,38.4,38.4,2078.4,54.1,118116,2969,Hydroelectricity,,,2: Good,-122.422083,46.53625
,Mayfield,Cowlitz River,,,,Washington,United States,,1963,76,259,7.4,7.4,219.6,29.7,142057,3574,Hydroelectricity,,,2: Good,-122.587917,46.50375
,Cowlitz Falls Dam,Cowlitz River,,,,Washington,United States,,1993,43,244,1.1,1.1,18.5,16.8,104680,2650,Hydroelectricity,,,2: Good,-122.100417,46.465417
,Mt. St. Helens Sediment Retention Structure,Toutle River,,,,Washington,United States,,1988,73,549,1.8,1.8,155.4,86.3,15635,371,Flood control,,,3: Fair,-122.547083,46.36375
,Swift 1,Lewis,,,,Washington,United States,,1958,122,640,16.7,16.7,931.9,55.8,52522,1237,Hydroelectricity,,,2: Good,-122.19625,46.062083
,Youngs River Reservoir,Youngs River,,,,Oregon,United States,,1965,25,175,0.2,0.2,14.8,74,1317,40,Water supply,,,5: Unreliable,-123.36625,46.037083
,Yale,Lewis River,,,,Washington,United States,,1953,98,457,13.6,13.6,495.9,36.5,65704,1544,Hydroelectricity,Yes,,3: Fair,-122.33375,45.96625
Bull Run Reservoir,Bull Run Reservoir Dam 1,Bull Run River,,,,Oregon,United States,,1929,61,296,1.3,1.3,41.6,32,7479,198,Water supply,,,2: Good,-122.080417,45.485417
Scoggins Reservoir,Scoggins Reservoir,Scoggins Creek,,,,Oregon,United States,,1975,46,823,4,4,74,18.5,2940,102,Irrigation,,,2: Good,-123.199583,45.474583
Bull Run Lake,Bull Run Lake Dam,Bull Run River,,,,Oregon,United States,,1965,17,46,1.7,1.7,17.9,10.5,341,9,Water supply,,,2: Good,-121.842083,45.46125
Bull Run Reservoir,Bull Run Reservoir Dam 2,Bull Run River,,,,Oregon,United States,,1962,44,274,1.2,1.2,30.8,25.7,10438,275,Water supply,,,2: Good,-122.147917,45.449583
Barney Reservoir,Trask River Dam,North Fork of Trask River,,,,Oregon,United States,,1998,50,762,1.3,1.3,24.7,19,474,16,Water supply,,,2: Good,-123.39625,45.44625
Lake Oswego,Lake Oswego,Offstream Tualatin River,,,,Oregon,United States,,1921,10,37,1.3,1.3,12.1,9.3,566,18,Hydroelectricity,,,2: Good,-122.674583,45.412083
North Fork,North Fork,Clackamas,,,,Oregon,United States,,1958,63,206,0.9,0.9,23,25.6,57997,1712,Hydroelectricity,,,2: Good,-122.27875,45.244583
Clear Lake,Wasco,Clear Creek,,,,Oregon,United States,,1958,18,579,1.9,1.9,14.7,7.7,663,22,Irrigation,,,2: Good,-121.69125,45.17625
Timothy Lake,Timothy Lake,Oak Grove,,,,Oregon,United States,,1956,30,226,5.5,5.5,85.1,15.5,3651,125,Hydroelectricity,,,2: Good,-121.804583,45.115417
Detroit Lake,Detroit,North Santiam River,,,,Oregon,United States,,1953,141,482,8.5,8.5,561.2,66,35636,1129,Hydroelectricity,,,2: Good,-122.249583,44.720417
Simtustus Lake,Pelton,Deschutes,,,,Oregon,United States,,1957,62,237,1.6,1.6,39.2,24.5,125987,20563,Hydroelectricity,,,2: Good,-121.232083,44.69375
Billy Chinook Lake,Round Butte,Deschutes,,,,Oregon,United States,,1964,134,442,15.2,15.2,659.9,43.4,119848,19826,Hydroelectricity,,,2: Good,-121.279583,44.602917
Green Peter Lake,Green Peter,Middle Santiam River,,,,Oregon,United States,,1967,115,462,11.1,11.1,530.4,47.8,26353,721,Flood control,,,2: Good,-122.547083,44.45375
Suttle Lake,Suttle Lake,Blue Lake Creek,,,,Oregon,United States,,1962,2,24,1,1,21.8,21.8,1366,60,Fisheries,,,5: Unreliable,-121.732917,44.424583
Foster Lake,Foster,South Santiam River,,,,Oregon,United States,,1967,38,1463,3.2,3.2,75.2,23.5,46528,1284,Hydroelectricity,,,2: Good,-122.66875,44.41875
Smith Reservoir,Smith,McKenzie River,,,,Oregon,United States,,1963,76,335,0.6,0.6,21.6,36,1671,56,Hydroelectricity,,,3: Fair,-122.047917,44.307917
Ochoco,Ochoco,Ochoco Creek,,,,Oregon,United States,,1920,41,580,3,3,57.4,19.1,1075,754,Irrigation,,,2: Good,-120.722917,44.29875
Blue River Lake,Blue River Dam,Blue River,,,,Oregon,United States,,1968,95,381,2.4,2.4,109.8,45.8,7350,226,Flood control,,,2: Good,-122.32875,44.174583
South Fork Mckenzie River,Cougar,South Fork of Mckenzie River,,,,Oregon,United States,,1964,158,488,2.8,2.8,270.1,96.5,13509,530,Hydroelectricity,,,2: Good,-122.24125,44.127083
Fern Ridge Lake,Fern Ridge,Long Tom River,,,,Oregon,United States,,1941,15,2015,26.7,26.7,149.3,5.6,20865,687,Flood control,,,2: Good,-123.299583,44.11875
Prineville Reservoir,Arthur R. Bowman,Crooked River,,,,Oregon,United States,,1960,75,580,8.5,8.5,188.5,22.2,6640,6742,Irrigation,,,2: Good,-120.785417,44.112083
Fall Creek Lake,Fall Creek,Fall Creek,,,,Oregon,United States,,1965,62,1539,3.3,3.3,154.2,46.7,15367,476,Flood control,,,2: Good,-122.755417,43.945417
Dexter Lake,Dexter,Middle Fork of Willamette River,,,,Oregon,United States,,1955,36,843,3.4,3.4,36.9,10.9,65491,2589,Hydroelectricity,,,2: Good,-122.805417,43.922917
Lookout Point Lake,Lookout Point,Middle Fork of Willamette River,,,,Oregon,United States,,1953,84,968,11.5,11.5,589.2,51.2,64824,2569,Flood control,,,2: Good,-122.750417,43.914583
Siltcoos Lake,Siltcoos Lake,Siltcoos River,,,,Oregon,United States,,1964,4,40,12,12,18.6,1.6,5096,178,Other,,,2: Good,-124.109583,43.887083
Tahkenitch Lake,Tahkenitch Lake,Tahkenitch Creek,,,,Oregon,United States,,1964,4,40,6.4,6.4,20.5,3.2,2568,91,Other,,,2: Good,-124.147917,43.807083
Dorena Lake,Dorena,Row River,,,,Oregon,United States,,1949,47,1006,4.2,4.2,161.6,38.5,20486,682,Flood control,,,2: Good,-122.952917,43.782917
Crane Prairie,Crane Prairie,Deschutes River,,,,Oregon,United States,,1939,11,579,18.3,18.3,68.2,3.7,10639,675,Irrigation,,,2: Good,-121.795417,43.762083
Cottage Grove Lake,Cottage Grove,Coast Fork of Willamette River,,,,Oregon,United States,,1942,31,643,2.5,2.5,61.7,24.7,7553,272,Flood control,,,2: Good,-123.057917,43.715417
Hills Creek Lake,Hills Creek,Middle Fork of Willamette River,,,,Oregon,United States,,1962,104,681,7.4,7.4,439.1,59.3,24003,999,Flood control,,,2: Good,-122.42125,43.70875
Wickiup Reservoir,Wickiup Reservoir,Deschutes River,,,,Oregon,United States,,1913,32,4317,37.8,37.8,267,7.1,18524,1214,Irrigation,,,2: Good,-121.69125,43.682917
Crescent Lake,Crescent Lake,Crescent Creek,,,,Oregon,United States,,1955,12,579,15.1,15.1,107.2,7.1,2648,150,Irrigation,,,2: Good,-121.97375,43.500417
,Lemolo 1,North Umpqua River,,,,Oregon,United States,,1955,37,270,1.4,1.4,14.5,10.4,7395,452,Hydroelectricity,,,2: Good,-122.192917,43.322083
Ben Irving Reservoir,Berry Creek Dam,Berry Creek,,,,Oregon,United States,,1980,45,250,0.8,0.8,18.5,23.1,1155,47,Water supply,,,2: Good,-123.557917,43.045417
Thompson Valley Reservoir,Thompson Valley Reservoir,Silver Creek,,,,Oregon,United States,,1922,15,88,8.1,8.1,37.6,4.6,367,210,Irrigation,,,2: Good,-121.087083,42.960417
Galesville Reservoir,Galesville Reservoir,Cow Creek,,,,Oregon,United States,,1985,51,290,1.5,1.5,52.1,34.7,3973,188,Recreation,,,2: Good,-123.177917,42.84875
Lost Creek Lake,William L. Jess,Rogue River,,,,Oregon,United States,,1976,105,1097,11.3,11.3,616.7,54.6,28156,1772,Flood control,,,2: Good,-122.672917,42.674583
Four Mile Lake,Four Mile Lake Dam,,,,,Oregon,United States,,1916,17,488,2.7,2.7,40.7,15.1,260,26,Irrigation,,,2: Good,-122.245417,42.457917
Cottonwood Reservoir,Cottonwood Reservoir,Cottonwood Creek,,,,Oregon,United States,,1962,19,238,1.8,1.8,14.1,7.8,83,83,Irrigation,,,2: Good,-120.51125,42.245417
Upper Klamath Lake,Link River Diversion,Klamath River,,,,Oregon,United States,,1921,7,579,276.6,276.6,646,2.3,51241,9584,Hydroelectricity,,,2: Good,-121.812083,42.240417
Howard Prairie Lake,Howard Prairie,Jenny Creek,,,,Oregon,United States,,1957,30,580,6.4,6.4,74.7,11.7,989,94,Irrigation,,,2: Good,-122.37875,42.21875
Gerber,Gerber,Miller Creek,,,,Oregon,United States,,1925,27,579,13.2,13.2,116.3,8.8,1069,593,Irrigation,,,2: Good,-121.127083,42.20125
Hyatt,Hyatt Dam,Keene Creek,,,,Oregon,United States,,1921,16,580,3,3,20,6.7,294,27,Irrigation,,,2: Good,-122.467917,42.174583
Emigrant Lake,Emigrant,Emigrant Creek,,,,Oregon,United States,,1923,62,580,2.2,2.2,48.1,21.9,2101,168,Irrigation,,,2: Good,-122.605417,42.16125
Drews Reservoir,Drews Reservoir,Drews Creek,,,,Oregon,United States,,1914,19,183,13.7,13.7,80.2,5.9,724,548,Irrigation,,,2: Good,-120.620417,42.122083
Applegate Reservoir,Applegate Dam,Applegate River,,,,Oregon,United States,,1980,74,366,2.2,2.2,110.2,50.1,11841,571,Irrigation,,,2: Good,-123.115417,42.054583
Copco Lake,Copco 1,Klamath River,,,,California,United States,,1917,76,125,3.7,3.7,58,15.7,60717,10857,Hydroelectricity,,,2: Good,-122.330417,41.982917
,Iron Gate,Klamath River,,,,California,United States,,1962,53,226,3.7,3.7,71.5,19.3,68166,11582,Other,,,2: Good,-122.43375,41.937083
Clear Lake Reservoir,Clear Lake Dike,Lost River,,,,California,United States,,1910,4,580,91.5,91.5,737,8.1,4068,1824,Irrigation,,,4: Poor,-121.07875,41.92625
,Big Sage,Rattlesnake Creek,,,,California,United States,,1921,15,207,17.3,17.3,95,5.5,395,299,Irrigation,,,2: Good,-120.62625,41.582917
Lake Shastina,Shasta River,Shasta River,,,,California,United States,,1928,29,380,5.5,5.5,61.7,11.2,4628,293,Irrigation,,,2: Good,-122.37625,41.540417
Lake Siskiyou,Box Canyon,Sacramento River,,,,California,United States,,1970,64,335,1.5,1.5,32.1,21.4,5327,320,Flood control,,,2: Good,-122.32875,41.282917
,West Valley,West Valley Creek,,,,California,United States,,1936,20,93,3,3,28.4,9.5,571,311,Irrigation,,,2: Good,-120.412083,41.22125
,McCloud,McCloud River,,,,California,United States,,1965,73,201,1.7,1.7,43.5,25.6,13826,1047,Water supply,,,2: Good,-122.074583,41.132917
,Tule Lake,Cedar Creek,,,,California,United States,,1904,5,335,10.1,10.1,48.7,4.8,146,67,Irrigation,,,2: Good,-120.370417,41.082083
,Iron Canyon,Iron Canyon Creek,,,,California,United States,,1965,65,316,1.3,1.3,30,23.1,428,29,Water supply,,,2: Good,-121.985417,41.045417
Lake Britton,Pit 3,Pit River,,,,California,United States,,1925,37,151,2.9,2.9,42.7,14.7,78579,14314,Water supply,,,2: Good,-121.674583,41.02375
Dodge Reservoir,Red Rock 1,Red Rock Creek,,,,California,United States,,1893,19,148,2.1,2.1,12.3,5.9,175,116,Irrigation,,,2: Good,-120.137083,40.970417
,Pit 7,Pit River,,,,California,United States,,1965,70,235,0.7,0.7,42.1,60.1,91372,15195,Water supply,,,2: Good,-121.990417,40.849583
Heath Reservoir,Heath Dam,Slate Creek,,,,California,United States,,1965,14,494,1.5,1.5,10.7,7.1,348,56,Irrigation,,,2: Good,-120.787083,40.84125
Clair Engle Lake,Trinity,Trinity River,,,,California,United States,,1962,164,581,56.3,56.3,2633.5,46.8,39483,1789,Irrigation,,,2: Good,-122.762083,40.80375
Shasta Lake,Shasta,Sacramento River,,,,California,United States,,1945,183,582,102.4,102.4,4890.7,47.8,150922,19018,Irrigation,,,2: Good,-122.422917,40.720417
Whiskeytown,Whiskeytown,Clear Creek,,,,California,United States,,1963,86,581,11.1,11.1,263.4,23.7,10310,514,Hydroelectricity,,,2: Good,-122.54125,40.599583
,Mccoy Flat,Susan River,,,,California,United States,,1891,6,198,6.8,6.8,21.3,3.1,1846,183,Irrigation,,,2: Good,-120.942917,40.45375
Ruth Lake,Robert W. Matthews,Mad River,,,,California,United States,,1962,46,192,4.3,4.3,63.9,14.9,7896,315,Recreation,,,2: Good,-123.432917,40.367917
Mountain Meadows Reservoir,Indian Ole,Hamilton Creek,,,,California,United States,,1924,8,80,18.7,18.7,30.6,1.6,3102,289,Water supply,,,2: Good,-121.024583,40.282917
,Antelope,Indian Creek,,,,California,United States,,1964,34,402,3,3,27.8,9.3,1460,182,Recreation,,,2: Good,-120.607917,40.182917
Canyon,Lake Almanor,North Fork of Feather River,,,,California,United States,,1927,40,381,102.9,102.9,1613.4,15.7,15337,1259,Irrigation,,,2: Good,-121.09125,40.17875
,Butt Valley,Butt Creek,,,,California,United States,,1924,32,452,6.1,6.1,61.4,10.1,3003,220,Irrigation,,,2: Good,-121.145417,40.11625
Bucks Lake,Bucks Storage,Bucks Creek,,,,California,United States,,1928,37,372,6.9,6.9,127,18.4,1059,72,Irrigation,,,2: Good,-121.200417,39.899583
,Frenchman,Little Last Chance Creek,,,,California,United States,,1961,39,219,5.3,5.3,68.4,12.9,1061,213,Irrigation,,,2: Good,-120.19125,39.895417
Lake Davis,Grizzly Valley,Big Grizzly Creek,,,,California,United States,,1966,35,244,17.8,17.8,102.4,5.8,1056,109,Recreation,,,2: Good,-120.47875,39.887083
,Paradise,Little Butte Creek,,,,California,United States,,1957,53,524,0.7,0.7,14.2,20.3,235,19,Irrigation,,,2: Good,-121.57875,39.85375
Black Butte Lake,Black Butte Dam,Stoney Creek,,,,California,United States,,1963,48,905,10.3,10.3,177.3,17.2,23074,1941,Flood control,,,2: Good,-122.34125,39.81625
,Little Grass Valley,South Fork of Feather River,,,,California,United States,,1961,64,256,5.9,5.9,114.7,19.4,912,63,Irrigation,,,2: Good,-121.01875,39.724583
Stony Gorge,Stony Gorge,Stony Creek,,,,California,United States,,1928,47,580,4.1,4.1,62.1,15.1,8679,789,Irrigation,,,2: Good,-122.53125,39.587083
,Sly Creek,Lost Creek,,,,California,United States,,1961,83,640,2.2,2.2,80.2,36.5,906,63,Irrigation,,,2: Good,-121.114583,39.582917
,Oroville,Feather River,,,,California,United States,,1968,235,2109,45.6,45.6,4366.5,95.8,105096,9301,Flood control,,,2: Good,-121.482917,39.54125
,Thermalito Forebay,Offstream Feather River,,,,California,United States,,1967,28,4846,2.1,2.1,14.6,7,165,20,Hydroelectricity,,,2: Good,-121.627083,39.51625
,Jackson Meadows,Middle Fork of Yuba River,,,,California,United States,,1965,59,466,3.8,3.8,64.8,17.1,1179,100,Irrigation,,,2: Good,-120.554583,39.50875
Stampede,Stampede,Little Truckee River,,,,California,United States,,1970,73,580,12.9,12.9,273.3,21.2,3000,363,Flood control,,,2: Good,-120.107917,39.474583
,Thermalito Afterbay,Offstream Feather River,,,,California,United States,,1967,12,12802,12.5,12.5,70.3,5.6,472,69,Water supply,,,2: Good,-121.645417,39.457917
,Independence,Independence Creek,,,,California,United States,,1939,9,258,2.7,2.7,22.8,8.4,226,24,Water supply,,,2: Good,-120.289583,39.45125
Bowman Lake,Bowman,Canyon Creek,,,,California,United States,,1927,53,122,2.9,2.9,78.9,27.2,972,73,Irrigation,,,2: Good,-120.652917,39.449583
,French Lake,Canyon Creek,,,,California,United States,,1948,30,91,1.3,1.3,17,13.1,159,12,Irrigation,,,2: Good,-120.540417,39.420417
Lake Pillsbury,Scott,Eel River,,,,California,United States,,1921,42,248,7.4,7.4,90,12.2,11259,741,Water supply,,,2: Good,-122.954583,39.412083
Boca,Boca,Little Truckee River,,,,California,United States,,1939,35,580,2,2,50.7,25.4,3510,439,Irrigation,,,2: Good,-120.095417,39.395417
Bullards Bar,New Bullards Bar,North Yuba River,,,,California,United States,,1970,194,677,14.5,14.5,1196,82.5,17110,1262,Irrigation,,,2: Good,-121.142083,39.394583
,Lake Fordyce,Fordyce Creek,,,,California,United States,,1873,44,294,2,2,60.3,30.1,808,73,Water supply,,,2: Good,-120.49625,39.380417
Prosser Creek,Prosser Creek,Prosser Creek,,,,California,United States,,1962,50,581,1.3,1.3,35.3,27.2,1187,134,Flood control,,,2: Good,-120.14125,39.37875
,East Park,Little Stony Creek,,,,California,United States,,1910,42,579,6.1,6.1,62.4,10.2,2661,264,Irrigation,,,2: Good,-122.51125,39.362083
